key,category,action,line,tts_text,locale,character,emotion,action_cn,speed,volume,stability,similarity,language_override,text_normalization,pitch,tts_emotion,tts_instruction
flavor.win,flavor,win,胜利,胜利,zh-CN,default,happy,胜利,1,0,1,1,,true,,,
flavor.lose,flavor,lose,失败,失败,zh-CN,default,sad,失败,1,0,1,1,,true,,,
flavor.close_game,flavor,close_game,这局结束了,这局结束了,zh-CN,default,neutral,这局结束了,1,0,1,1,,true,,,
game.start,game,start,对局开始,对局开始,zh-CN,default,neutral,对局开始,1,0,1,1,,true,,,
game.end,game,first_place,第一名,第一名,zh-CN,default,neutral,第一名,1,0,1,1,,true,,,
result.second_place,result,second_place,第二名,第二名,zh-CN,default,neutral,第二名,1,0,1,1,,true,,,
result.third_place,result,third_place,第三名,第三名,zh-CN,default,neutral,第三名,1,0,1,1,,true,,,
result.fourth_place,result,fourth_place,第四名,第四名,zh-CN,default,sad,第四名,1,0,1,1,,true,,,
yaku.tenpai,yaku,tenpai,听牌,听牌,zh-CN,default,dramatic,听牌,1,0,1,1,,true,,,
yaku.noten,yaku,noten,没听,没听,zh-CN,default,dramatic,没听,1,0,1,1,,true,,,
game.draw,game,draw,流局,流局,zh-CN,default,neutral,流局,1,0,1,1,,true,,,
action.ron,action,ron,荣和,荣和,zh-CN,default,decisive,荣和,1,0,1,1,,true,,,
action.tsumo,action,tsumo,自摸,自摸,zh-CN,default,decisive,自摸,1,0,1,1,,true,,,
action.riichi,action,riichi,立直,立直,zh-CN,default,firm,立直,1,0,1,1,,true,,,
action.double_riichi,action,double_riichi,双立直,双立直,zh-CN,default,firm,双立直,1,0,1,1,,true,,,
action.chi,action,chi,吃,吃,zh-CN,default,short,吃,1,0,1,1,,true,,,
action.pon,action,pon,碰,碰,zh-CN,default,short,碰,1,0,1,1,,true,,,
action.kan,action,kan,杠,杠,zh-CN,default,short,杠,1,0,1,1,,true,,,
action.ankan,action,ankan,暗杠,暗杠,zh-CN,default,short,暗杠,1,0,1,1,,true,,,
action.kakan,action,kakan,加杠,加杠,zh-CN,default,short,加杠,1,0,1,1,,true,,,
action.nuki,action,nuki,拔北,拔北,zh-CN,default,short,拔北,1,0,1,1,,true,,,
game.four_winds_abortive_draw,game,four_winds_abortive_draw,四风连打,四风连打,zh-CN,default,neutral,四风连打,1,0,1,1,,true,,,
